entity_id,name,link,scraped_at,job_levels,job_levels_raw,languages,languages_raw,duration,duration_raw,status,remote,adaptive,description,keys
4030,Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,2026-05-08T10:44:16.022341+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",7 minutes,Approximate Completion Time in minutes = 7,ok,yes,no,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",['Knowledge & Skills']
4011,Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,2026-05-08T10:44:16.122857+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",9 minutes,Approximate Completion Time in minutes = 9,ok,yes,no,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",['Knowledge & Skills']
4073,Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,2026-05-08T10:44:16.223416+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",5 minutes,Approximate Completion Time in minutes = 5,ok,yes,no,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",['Knowledge & Skills']
4075,Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,2026-05-08T10:44:21.815687+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",5 minutes,Approximate Completion Time in minutes = 5,ok,yes,no,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",['Knowledge & Skills']
4022,Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,2026-05-08T10:44:22.162757+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",6 minutes,Approximate Completion Time in minutes = 6,ok,yes,no,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",['Knowledge & Skills']
4115,Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,2026-05-08T10:44:22.509671+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",6 minutes,Approximate Completion Time in minutes = 6,ok,yes,no,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",['Knowledge & Skills']
4023,Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,2026-05-08T10:44:22.584375+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",8 minutes,Approximate Completion Time in minutes = 8,ok,yes,no,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",['Knowledge & Skills']
4017,ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,2026-05-08T10:44:23.555099+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",13 minutes,Approximate Completion Time in minutes = 13,ok,yes,no,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",['Knowledge & Skills']
3786,ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,2026-05-08T10:44:27.654495+00:00,"['Mid-Professional', 'Professional Individual Contributor']","Mid-Professional, Professional Individual Contributor,",['English (USA)'],"English (USA),",30 minutes,Approximate Completion Time in minutes = 30,ok,yes,yes,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",['Knowledge & Skills']
4219,Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,2026-05-08T10:44:28.869490+00:00,"['Director', 'Entry-Level', 'Executive', 'Front Line Manager', 'General Population', 'Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor']","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","['English International', 'English (USA)']","English International, English (USA),",Variable,Approximate Completion Time in minutes = Variable,ok,yes,no,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more.",['Assessment Exercises']
